    parsed | total average parse time | recent average parse time |       kept | % of total |   last kept | last kept time | elapsed time
    249242 |                  5.901ms |                   500.5ms |     244917 |    98.265% |   Q87060521 |    12:19:38 PM |     00:24:30
    249243 |                  5.903ms |                     553ms |     244918 |    98.265% |   Q87069465 |    12:19:39 PM |     00:24:31
    249245 |                  5.907ms |                   500.5ms |     244920 |    98.265% |   Q87269738 |    12:19:40 PM |     00:24:32
    249246 |                  5.907ms |                      56ms |     244921 |    98.265% |   Q87270925 |    12:19:40 PM |     00:24:32
    249251 |                  5.911ms |                     200ms |     244926 |    98.265% |   Q87476944 |    12:19:41 PM |     00:24:33
    249252 |                  5.917ms |                    1636ms |     244927 |    98.265% |   Q87485236 |    12:19:43 PM |     00:24:34
    249264 |                  5.921ms |                  83.333ms |     244939 |    98.265% |   Q87720220 |    12:19:44 PM |     00:24:35
    249291 |                  5.925ms |                  37.037ms |     244966 |    98.265% |   Q87940838 |    12:19:45 PM |     00:24:36
    249724 |                  5.918ms |                   2.309ms |     245399 |    98.268% |   Q88076968 |    12:19:46 PM |     00:24:37
    250030 |                  5.915ms |                   3.268ms |     245705 |     98.27% |   Q88208571 |    12:19:47 PM |     00:24:38
    250036 |                  5.919ms |                 175.833ms |     245711 |     98.27% |   Q88322087 |    12:19:48 PM |     00:24:39
    250044 |                  5.923ms |                     125ms |     245719 |     98.27% |   Q88461147 |    12:19:49 PM |     00:24:40
    250045 |                  5.927ms |                    1000ms |     245720 |     98.27% |   Q88475361 |    12:19:50 PM |     00:24:41
    250047 |                  5.931ms |                   558.5ms |     245722 |     98.27% |   Q88650959 |    12:19:51 PM |     00:24:43
    250048 |                  5.932ms |                     113ms |     245723 |     98.27% |   Q88660189 |    12:19:51 PM |     00:24:43
    250052 |                  5.936ms |                     250ms |     245727 |     98.27% |   Q88883783 |    12:19:52 PM |     00:24:44
    250053 |                  5.943ms |                    1824ms |     245728 |     98.27% |   Q88885045 |    12:19:54 PM |     00:24:46
    250061 |                  5.947ms |                     125ms |     245736 |     98.27% |   Q89279263 |    12:19:55 PM |     00:24:47
    250078 |                   5.95ms |                  61.941ms |     245753 |    98.271% |   Q89457519 |    12:19:56 PM |     00:24:48
    250085 |                  5.955ms |                 149.143ms |     245760 |    98.271% |   Q89572371 |    12:19:57 PM |     00:24:49
    250091 |                  5.958ms |                 166.833ms |     245764 |     98.27% |   Q89656122 |    12:19:58 PM |     00:24:50
    250095 |                  5.962ms |                     250ms |     245768 |     98.27% |   Q89789609 |    12:19:59 PM |     00:24:51
    250096 |                  5.968ms |                    1404ms |     245769 |     98.27% |   Q89793774 |    12:20:00 PM |     00:24:52
    250100 |                  5.972ms |                  250.75ms |     245773 |     98.27% |   Q89984949 |    12:20:01 PM |     00:24:53
    250101 |                  5.987ms |                    3851ms |     245774 |     98.27% |   Q89988706 |    12:20:05 PM |     00:24:57
    250102 |                  5.992ms |                    1210ms |     245775 |     98.27% |   Q90410598 |    12:20:06 PM |     00:24:58
    250103 |                  5.998ms |                    1451ms |     245776 |     98.27% |   Q90558299 |    12:20:08 PM |     00:25:00
    250104 |                  6.002ms |                    1001ms |     245777 |     98.27% |   Q90685649 |    12:20:09 PM |     00:25:01
    250105 |                  6.003ms |                     344ms |     245778 |     98.27% |   Q90707075 |    12:20:09 PM |     00:25:01
    250107 |                  6.007ms |                     500ms |     245780 |     98.27% |   Q90884064 |    12:20:10 PM |     00:25:02
    250110 |                  6.012ms |                 392.667ms |     245783 |     98.27% |   Q91002416 |    12:20:11 PM |     00:25:03
    250111 |                  6.014ms |                     578ms |     245784 |     98.27% |   Q91013452 |    12:20:12 PM |     00:25:04
    250114 |                  6.018ms |                 333.333ms |     245787 |     98.27% |   Q91222165 |    12:20:13 PM |     00:25:05
    250117 |                  6.022ms |                 337.333ms |     245790 |     98.27% |   Q91402154 |    12:20:14 PM |     00:25:06
    250118 |                  6.027ms |                    1257ms |     245791 |     98.27% |   Q91435451 |    12:20:15 PM |     00:25:07
    250119 |                  6.041ms |                    3492ms |     245792 |     98.27% |   Q91588921 |    12:20:19 PM |     00:25:10
    250120 |                  6.052ms |                    2781ms |     245793 |     98.27% |   Q91918545 |    12:20:21 PM |     00:25:13
    250122 |                  6.056ms |                     500ms |     245794 |     98.27% |   Q92186589 |    12:20:22 PM |     00:25:14
    250124 |                   6.06ms |                     511ms |     245796 |     98.27% |   Q92303843 |    12:20:23 PM |     00:25:15
    250126 |                  6.064ms |                     500ms |     245798 |     98.27% |   Q92437665 |    12:20:24 PM |     00:25:16
    250127 |                  6.078ms |                    3474ms |     245799 |     98.27% |   Q92450655 |    12:20:28 PM |     00:25:20
    250128 |                  6.084ms |                    1653ms |     245800 |     98.27% |   Q92780904 |    12:20:30 PM |     00:25:21
    250129 |                  6.095ms |                    2780ms |     245801 |     98.27% |   Q92953146 |    12:20:32 PM |     00:25:24
    250133 |                  6.099ms |                     250ms |     245805 |     98.27% |   Q93336560 |    12:20:33 PM |     00:25:25
    250144 |                  6.103ms |                  98.273ms |     245816 |     98.27% |   Q93492269 |    12:20:34 PM |     00:25:26
    250150 |                  6.107ms |                 166.667ms |     245822 |     98.27% |   Q93756611 |    12:20:35 PM |     00:25:27
    250151 |                  6.111ms |                    1006ms |     245823 |     98.27% |   Q93758020 |    12:20:36 PM |     00:25:28
    250157 |                  6.115ms |                 166.833ms |     245829 |     98.27% |   Q94069192 |    12:20:37 PM |     00:25:29
    250165 |                  6.119ms |                 140.625ms |     245837 |     98.27% |   Q94298317 |    12:20:39 PM |     00:25:30
    250172 |                  6.123ms |                     143ms |     245844 |     98.27% |   Q94472298 |    12:20:40 PM |     00:25:31
    250176 |                  6.127ms |                     250ms |     245848 |     98.27% |   Q94575242 |    12:20:41 PM |     00:25:32
    250177 |                  6.132ms |                    1247ms |     245849 |     98.27% |   Q94578389 |    12:20:42 PM |     00:25:34
    250178 |                  6.148ms |                    4126ms |     245850 |     98.27% |   Q94691832 |    12:20:46 PM |     00:25:38
    250182 |                  6.152ms |                     250ms |     245854 |     98.27% |   Q96035764 |    12:20:47 PM |     00:25:39
    250189 |                  6.156ms |                 143.143ms |     245860 |     98.27% |   Q96382054 |    12:20:48 PM |     00:25:40
    250197 |                   6.16ms |                     125ms |     245868 |     98.27% |   Q96654830 |    12:20:49 PM |     00:25:41
    250665 |                  6.152ms |                   2.137ms |     246336 |    98.273% |   Q97015922 |    12:20:50 PM |     00:25:42
    250667 |                  6.157ms |                     523ms |     246338 |    98.273% |   Q97323444 |    12:20:51 PM |     00:25:43
    250672 |                  6.161ms |                     201ms |     246343 |    98.273% |   Q97664806 |    12:20:52 PM |     00:25:44
    250697 |                  6.164ms |                   39.96ms |     246368 |    98.273% |   Q98066085 |    12:20:53 PM |     00:25:45
    250701 |                  6.168ms |                  250.25ms |     246372 |    98.273% |   Q98221431 |    12:20:54 PM |     00:25:46
    250704 |                  6.172ms |                     374ms |     246375 |    98.273% |   Q98280372 |    12:20:55 PM |     00:25:47
    250706 |                  6.178ms |                     728ms |     246376 |    98.273% |   Q98605716 |    12:20:57 PM |     00:25:48
    250708 |                  6.182ms |                   544.5ms |     246378 |    98.273% |   Q98793068 |    12:20:58 PM |     00:25:49
    250709 |                  6.186ms |                    1035ms |     246379 |    98.273% |   Q98969210 |    12:20:59 PM |     00:25:50
    250710 |                   6.19ms |                    1001ms |     246380 |    98.273% |   Q99527360 |    12:21:00 PM |     00:25:51
    250711 |                  6.192ms |                     528ms |     246380 |    98.273% |   Q99527360 |    12:21:00 PM |     00:25:52
    250713 |                  6.196ms |                   500.5ms |     246382 |    98.273% |   Q99891849 |    12:21:01 PM |     00:25:53
    250714 |                   6.21ms |                    3517ms |     246383 |    98.273% |   Q99979830 |    12:21:05 PM |     00:25:57
    250715 |                   6.22ms |                    2418ms |     246384 |    98.273% |  Q101244270 |    12:21:07 PM |     00:25:59
    250769 |                  6.223ms |                  18.556ms |     246384 |    98.251% |  Q101244270 |    12:21:07 PM |     00:26:00
    250770 |                  6.234ms |                    2821ms |     246384 |    98.251% |  Q101244270 |    12:21:07 PM |     00:26:03
    250835 |                  6.236ms |                  15.385ms |     246449 |    98.251% |  Q105085214 |    12:21:12 PM |     00:26:04
    250896 |                  6.239ms |                  16.639ms |     246510 |    98.252% |  Q105336326 |    12:21:13 PM |     00:26:05
    250991 |                  6.241ms |                  13.105ms |     246605 |    98.253% |  Q105556043 |    12:21:14 PM |     00:26:06
    251026 |                  6.245ms |                  32.114ms |     246639 |    98.252% |  Q105855041 |    12:21:15 PM |     00:26:07
    251193 |                  6.245ms |                   5.988ms |     246765 |    98.237% |  Q106289575 |    12:21:16 PM |     00:26:08
    251240 |                  6.248ms |                  21.277ms |     246812 |    98.238% |  Q106507760 |    12:21:17 PM |     00:26:09
    251277 |                  6.251ms |                  27.514ms |     246839 |    98.234% |  Q106968503 |    12:21:18 PM |     00:26:10
    251284 |                  6.255ms |                 142.857ms |     246845 |    98.233% |  Q107277690 |    12:21:19 PM |     00:26:11
    251300 |                  6.258ms |                    62.5ms |     246861 |    98.234% |  Q107550975 |    12:21:20 PM |     00:26:12
    251301 |                  6.266ms |                    1902ms |     246862 |    98.234% |  Q107556778 |    12:21:22 PM |     00:26:14
    251303 |                   6.27ms |                   500.5ms |     246864 |    98.234% |  Q108393582 |    12:21:23 PM |     00:26:15
    251304 |                   6.27ms |                     110ms |     246865 |    98.234% |  Q108407187 |    12:21:23 PM |     00:26:15
    251310 |                  6.274ms |                 166.667ms |     246870 |    98.233% |  Q109260495 |    12:21:24 PM |     00:26:16
    251313 |                  6.281ms |                 610.667ms |     246873 |    98.233% |  Q109697715 |    12:21:26 PM |     00:26:18
    251314 |                  6.291ms |                    2494ms |     246874 |    98.233% |  Q109697956 |    12:21:29 PM |     00:26:20
    251403 |                  6.293ms |                  11.236ms |     246875 |    98.199% |  Q110252483 |    12:21:30 PM |     00:26:21
    251406 |                  6.297ms |                     410ms |     246876 |    98.198% |      Q30530 |    12:21:31 PM |     00:26:23
    251408 |                  6.302ms |                     570ms |     246877 |    98.198% |      Q92594 |    12:21:32 PM |     00:26:24
    251410 |                  6.306ms |                   569.5ms |     246879 |    98.198% |     Q166726 |    12:21:33 PM |     00:26:25
    251411 |                   6.31ms |                     823ms |     246880 |    98.198% |     Q180583 |    12:21:34 PM |     00:26:26
    251420 |                  6.313ms |                 111.111ms |     246888 |    98.197% |     Q355965 |    12:21:35 PM |     00:26:27
    251457 |                  6.318ms |                  39.514ms |     246915 |    98.194% |     Q426168 |    12:21:37 PM |     00:26:28
    251458 |                  6.321ms |                     582ms |     246916 |    98.194% |     Q426648 |    12:21:37 PM |     00:26:29
    251460 |                  6.325ms |                     500ms |     246918 |    98.194% |     Q571999 |    12:21:38 PM |     00:26:30
    251465 |                  6.329ms |                   228.4ms |     246920 |    98.193% |     Q683602 |    12:21:39 PM |     00:26:31
    251468 |                  6.333ms |                 333.333ms |     246923 |    98.193% |     Q700006 |    12:21:40 PM |     00:26:32
    251469 |                  6.337ms |                    1000ms |     246924 |    98.193% |     Q779420 |    12:21:41 PM |     00:26:33
    251478 |                  6.341ms |                 111.778ms |     246932 |    98.192% |     Q909646 |    12:21:42 PM |     00:26:34
    251479 |                  6.345ms |                    1028ms |     246933 |    98.192% |     Q970156 |    12:21:43 PM |     00:26:35
    251480 |                  6.346ms |                     383ms |     246934 |    98.192% |     Q994646 |    12:21:44 PM |     00:26:35
    251482 |                   6.35ms |                     501ms |     246936 |    98.192% |    Q1149122 |    12:21:45 PM |     00:26:36
    251483 |                  6.357ms |                    1715ms |     246937 |    98.192% |    Q1154611 |    12:21:46 PM |     00:26:38
    251489 |                  6.361ms |                 166.667ms |     246943 |    98.192% |    Q1500343 |    12:21:47 PM |     00:26:39
    251491 |                  6.366ms |                     651ms |     246944 |    98.192% |    Q1532471 |    12:21:49 PM |     00:26:40
    251492 |                  6.368ms |                     620ms |     246945 |    98.192% |    Q1649375 |    12:21:49 PM |     00:26:41
    251495 |                  6.372ms |                 333.333ms |     246948 |    98.192% |    Q1982330 |    12:21:50 PM |     00:26:42
    251499 |                  6.377ms |                   329.5ms |     246952 |    98.192% |    Q2113389 |    12:21:52 PM |     00:26:43
    251501 |                  6.381ms |                   511.5ms |     246953 |    98.192% |    Q2113501 |    12:21:53 PM |     00:26:44
    251502 |                  6.385ms |                    1000ms |     246954 |    98.192% |    Q2399112 |    12:21:54 PM |     00:26:45
    251505 |                  6.389ms |                 333.333ms |     246957 |    98.192% |    Q2698453 |    12:21:55 PM |     00:26:46
    251507 |                  6.393ms |                     537ms |     246959 |    98.192% |    Q2744706 |    12:21:56 PM |     00:26:47
    251511 |                  6.399ms |                  344.75ms |     246962 |    98.191% |    Q3098700 |    12:21:57 PM |     00:26:49
    251512 |                  6.403ms |                    1080ms |     246962 |    98.191% |    Q3098700 |    12:21:57 PM |     00:26:50
    251515 |                  6.407ms |                 333.333ms |     246965 |    98.191% |    Q3415811 |    12:21:59 PM |     00:26:51
    251519 |                  6.411ms |                     291ms |     246969 |    98.191% |    Q3740187 |    12:22:00 PM |     00:26:52
    251527 |                  6.415ms |                 125.125ms |     246975 |     98.19% |    Q4047848 |    12:22:01 PM |     00:26:53
    251533 |                  6.419ms |                 166.667ms |     246981 |     98.19% |    Q4217286 |    12:22:02 PM |     00:26:54
    251536 |                  6.424ms |                     379ms |     246982 |     98.19% |    Q4219505 |    12:22:03 PM |     00:26:55
    251542 |                  6.427ms |                 166.667ms |     246988 |     98.19% |    Q4650061 |    12:22:04 PM |     00:26:56
    251547 |                  6.431ms |                   200.2ms |     246992 |    98.189% |    Q4840095 |    12:22:05 PM |     00:26:57
    251569 |                  6.435ms |                  47.455ms |     247013 |    98.189% |    Q5134730 |    12:22:07 PM |     00:26:58
    251586 |                  6.438ms |                  59.706ms |     247026 |    98.187% |    Q5347847 |    12:22:08 PM |     00:26:59
    251615 |                  6.442ms |                  35.966ms |     247044 |    98.183% |    Q5572423 |    12:22:09 PM |     00:27:00
    251626 |                  6.446ms |                  92.909ms |     247051 |    98.182% |    Q5864335 |    12:22:10 PM |     00:27:01
    251629 |                  6.449ms |                 333.333ms |     247053 |    98.181% |    Q5973476 |    12:22:11 PM |     00:27:02
    251630 |                  6.453ms |                    1001ms |     247054 |    98.181% |    Q5983900 |    12:22:12 PM |     00:27:03
    251631 |                  6.454ms |                     132ms |     247055 |    98.181% |    Q6155969 |    12:22:12 PM |     00:27:04
    251639 |                  6.458ms |                     125ms |     247060 |     98.18% |    Q6469050 |    12:22:13 PM |     00:27:05
    251643 |                  6.464ms |                     417ms |     247063 |     98.18% |    Q6725886 |    12:22:14 PM |     00:27:06
    251648 |                  6.468ms |                     200ms |     247066 |    98.179% |    Q6955017 |    12:22:15 PM |     00:27:07
    251664 |                  6.472ms |                    62.5ms |     247079 |    98.178% |    Q7259541 |    12:22:16 PM |     00:27:08
    251675 |                  6.475ms |                  91.636ms |     247087 |    98.177% |    Q7392025 |    12:22:17 PM |     00:27:09
    251686 |                  6.479ms |                  91.364ms |     247096 |    98.176% |    Q7699501 |    12:22:18 PM |     00:27:10
    251695 |                  6.483ms |                 111.111ms |     247104 |    98.176% |    Q7876540 |    12:22:19 PM |     00:27:11
    251699 |                  6.487ms |                  250.25ms |     247105 |    98.175% |    Q7899544 |    12:22:20 PM |     00:27:12
    251700 |                  6.493ms |                    1718ms |     247106 |    98.175% |    Q7942550 |    12:22:22 PM |     00:27:14
    251703 |                  6.497ms |                 333.667ms |     247106 |    98.174% |    Q7942550 |    12:22:22 PM |     00:27:15
    251704 |                  6.505ms |                    1852ms |     247107 |    98.174% |    Q8393179 |    12:22:25 PM |     00:27:17
    251705 |                  6.548ms |                   10888ms |     247108 |    98.174% |    Q8965126 |    12:22:36 PM |     00:27:28
    251708 |                  6.552ms |                 333.667ms |     247109 |    98.173% |   Q12357554 |    12:22:37 PM |     00:27:29
    251709 |                  6.556ms |                    1054ms |     247110 |    98.173% |   Q12746111 |    12:22:38 PM |     00:27:30
    251710 |                  6.568ms |                    3094ms |     247111 |    98.173% |   Q12905982 |    12:22:41 PM |     00:27:33
    251711 |                  6.572ms |                    1000ms |     247112 |    98.173% |   Q12910918 |    12:22:42 PM |     00:27:34
    251712 |                  6.575ms |                     760ms |     247113 |    98.173% |   Q14331165 |    12:22:43 PM |     00:27:35
    251803 |                  6.577ms |                      11ms |     247204 |    98.174% |   Q14916463 |    12:22:44 PM |     00:27:36
    251804 |                  6.582ms |                    1272ms |     247205 |    98.174% |   Q14916490 |    12:22:45 PM |     00:27:37
    251821 |                  6.585ms |                  58.824ms |     247220 |    98.173% |   Q15333187 |    12:22:46 PM |     00:27:38
    251822 |                  6.592ms |                    1706ms |     247221 |    98.173% |   Q15335024 |    12:22:48 PM |     00:27:40
    251823 |                  6.599ms |                    1869ms |     247222 |    98.173% |   Q15709005 |    12:22:50 PM |     00:27:41
    251824 |                  6.606ms |                    1559ms |     247223 |    98.173% |   Q16252570 |    12:22:51 PM |     00:27:43
    251838 |                  6.609ms |                  71.429ms |     247233 |    98.171% |   Q17125079 |    12:22:52 PM |     00:27:44
    251839 |                  6.623ms |                    3500ms |     247233 |    98.171% |   Q17125079 |    12:22:52 PM |     00:27:47
    251844 |                  6.627ms |                   200.2ms |     247236 |     98.17% |   Q18391140 |    12:22:57 PM |     00:27:48
    251845 |                  6.633ms |                    1517ms |     247237 |     98.17% |   Q18392614 |    12:22:58 PM |     00:27:50
    251850 |                  6.637ms |                     200ms |     247242 |     98.17% |   Q18972821 |    12:22:59 PM |     00:27:51
    251851 |                  6.641ms |                     971ms |     247243 |     98.17% |   Q19049584 |    12:23:00 PM |     00:27:52
    251852 |                  6.645ms |                    1000ms |     247243 |     98.17% |   Q19049584 |    12:23:00 PM |     00:27:53
    251853 |                  6.645ms |                      12ms |     247243 |     98.17% |   Q19049584 |    12:23:00 PM |     00:27:53
    251854 |                  6.649ms |                    1001ms |     247243 |    98.169% |   Q19049584 |    12:23:00 PM |     00:27:54
    251855 |                   6.65ms |                     442ms |     247244 |    98.169% |   Q20180797 |    12:23:03 PM |     00:27:54
    251856 |                  6.654ms |                    1000ms |     247245 |    98.169% |   Q20707573 |    12:23:04 PM |     00:27:55
    251857 |                  6.656ms |                     412ms |     247245 |    98.169% |   Q20707573 |    12:23:04 PM |     00:27:56
    252221 |                   6.65ms |                   2.747ms |     247609 |    98.171% |   Q21107611 |    12:23:05 PM |     00:27:57
    252626 |                  6.643ms |                   2.474ms |     248014 |    98.174% |   Q21113651 |    12:23:06 PM |     00:27:58
    252991 |                  6.638ms |                   2.745ms |     248379 |    98.177% |   Q21118804 |    12:23:07 PM |     00:27:59
    253431 |                   6.63ms |                   2.275ms |     248819 |     98.18% |   Q21124652 |    12:23:08 PM |     00:28:00
    253835 |                  6.624ms |                   2.475ms |     249223 |    98.183% |   Q21135698 |    12:23:09 PM |     00:28:01
    254766 |                  6.603ms |                   1.075ms |     250154 |     98.19% |   Q21173499 |    12:23:10 PM |     00:28:02
    254924 |                  6.603ms |                   6.329ms |     250312 |    98.191% |   Q21245861 |    12:23:11 PM |     00:28:03
    255152 |                  6.601ms |                    4.39ms |     250540 |    98.192% |   Q21495016 |    12:23:12 PM |     00:28:04
    255476 |                  6.597ms |                   3.086ms |     250864 |    98.195% |   Q21499089 |    12:23:13 PM |     00:28:05
    255957 |                  6.588ms |                   2.079ms |     251345 |    98.198% |   Q21631842 |    12:23:14 PM |     00:28:06
    256661 |                  6.574ms |                    1.42ms |     252049 |    98.203% |   Q21765873 |    12:23:15 PM |     00:28:07
    256949 |                  6.571ms |                   3.476ms |     252337 |    98.205% |   Q21981412 |    12:23:16 PM |     00:28:08
    257297 |                  6.566ms |                   2.876ms |     252685 |    98.208% |   Q21985935 |    12:23:17 PM |     00:28:09
    257661 |                   6.56ms |                   2.755ms |     253049 |     98.21% |   Q21988893 |    12:23:18 PM |     00:28:10
    258044 |                  6.554ms |                   2.611ms |     253432 |    98.213% |   Q21992059 |    12:23:19 PM |     00:28:11
    258469 |                  6.548ms |                   2.353ms |     253857 |    98.216% |   Q22136715 |    12:23:20 PM |     00:28:12
    259153 |                  6.534ms |                   1.462ms |     254541 |     98.22% |   Q22257668 |    12:23:21 PM |     00:28:13
    260313 |                  6.509ms |                   0.862ms |     255699 |    98.228% |   Q22302018 |    12:23:22 PM |     00:28:14
    261412 |                  6.485ms |                    0.91ms |     256798 |    98.235% |   Q22336712 |    12:23:23 PM |     00:28:15
    261571 |                  6.485ms |                   6.302ms |     256957 |    98.236% |   Q22676700 |    12:23:24 PM |     00:28:16
    261690 |                  6.486ms |                   8.403ms |     257076 |    98.237% |   Q22923657 |    12:23:25 PM |     00:28:17
    262678 |                  6.465ms |                   1.012ms |     258064 |    98.243% |   Q23064707 |    12:23:26 PM |     00:28:18
    262980 |                  6.462ms |                   3.311ms |     258366 |    98.245% |   Q23073083 |    12:23:27 PM |     00:28:19
    262981 |                  6.463ms |                     355ms |     258367 |    98.246% |   Q23073087 |    12:23:27 PM |     00:28:19
    263776 |                  6.447ms |                   1.258ms |     259162 |    98.251% |   Q23425754 |    12:23:28 PM |     00:28:20
    265058 |                   6.42ms |                    0.78ms |     260444 |    98.259% |   Q23436633 |    12:23:29 PM |     00:28:21
    266395 |                  6.392ms |                   0.748ms |     261781 |    98.268% |   Q23447421 |    12:23:30 PM |     00:28:22
    267878 |                   6.36ms |                   0.674ms |     263264 |    98.278% |   Q23459915 |    12:23:31 PM |     00:28:23
    269374 |                  6.328ms |                   0.668ms |     264760 |    98.287% |   Q23473079 |    12:23:32 PM |     00:28:24
    270790 |                  6.299ms |                   0.706ms |     266176 |    98.296% |   Q23484578 |    12:23:33 PM |     00:28:25
    272187 |                   6.27ms |                   0.716ms |     267573 |    98.305% |   Q23495778 |    12:23:34 PM |     00:28:26
    273820 |                  6.237ms |                   0.613ms |     269206 |    98.315% |   Q23511297 |    12:23:35 PM |     00:28:27
    275207 |                  6.209ms |                   0.721ms |     270593 |    98.323% |   Q23522571 |    12:23:36 PM |     00:28:28
    276779 |                  6.177ms |                   0.636ms |     272165 |    98.333% |   Q23536357 |    12:23:37 PM |     00:28:29
    278226 |                  6.149ms |                   0.691ms |     273612 |    98.342% |   Q23550331 |    12:23:38 PM |     00:28:30
    279595 |                  6.122ms |                    0.73ms |     274981 |     98.35% |   Q23562260 |    12:23:39 PM |     00:28:31
    281379 |                  6.087ms |                   0.561ms |     276765 |     98.36% |   Q23577552 |    12:23:40 PM |     00:28:32
    282981 |                  6.056ms |                   0.624ms |     278367 |     98.37% |   Q23592336 |    12:23:41 PM |     00:28:33
    284326 |                  6.031ms |                   0.743ms |     279712 |    98.377% |   Q23603656 |    12:23:42 PM |     00:28:34
    285904 |                  6.001ms |                   0.634ms |     281290 |    98.386% |   Q23617363 |    12:23:43 PM |     00:28:35
    287442 |                  5.972ms |                    0.65ms |     282828 |    98.395% |   Q23631315 |    12:23:44 PM |     00:28:36
    288043 |                  5.963ms |                   1.664ms |     283429 |    98.398% |   Q23636015 |    12:23:45 PM |     00:28:37
    288311 |                  5.961ms |                   3.731ms |     283665 |    98.389% |   Q24093512 |    12:23:46 PM |     00:28:38
    289813 |                  5.934ms |                   0.666ms |     285167 |    98.397% |   Q24105891 |    12:23:47 PM |     00:28:39
    291361 |                  5.906ms |                   0.646ms |     286715 |    98.405% |   Q24118994 |    12:23:48 PM |     00:28:40
    292858 |                  5.879ms |                   0.668ms |     288212 |    98.414% |   Q24131639 |    12:23:49 PM |     00:28:41
    294815 |                  5.843ms |                   0.511ms |     290169 |    98.424% |   Q24147283 |    12:23:50 PM |     00:28:42
    295647 |                   5.83ms |                   1.202ms |     290996 |    98.427% |   Q24220365 |    12:23:51 PM |     00:28:43
    296721 |                  5.812ms |                   0.931ms |     292070 |    98.433% |   Q24252436 |    12:23:52 PM |     00:28:44
    298094 |                  5.789ms |                   0.728ms |     293443 |     98.44% |   Q24281183 |    12:23:53 PM |     00:28:45
    298289 |                  5.789ms |                   5.133ms |     293638 |    98.441% |   Q24282564 |    12:23:54 PM |     00:28:46
    298290 |                  5.792ms |                     859ms |     293639 |    98.441% |   Q24282567 |    12:23:55 PM |     00:28:47
    298291 |                    5.8ms |                    2640ms |     293639 |     98.44% |   Q24282567 |    12:23:55 PM |     00:28:50
    300022 |                   5.77ms |                   0.578ms |     293639 |    97.872% |   Q24282567 |    12:23:55 PM |     00:28:51
    300023 |                  5.771ms |                     313ms |     293639 |    97.872% |   Q24282567 |    12:23:55 PM |     00:28:51
    300025 |                  5.775ms |                   500.5ms |     293639 |    97.872% |   Q24282567 |    12:23:55 PM |     00:28:52
    300026 |                  5.779ms |                    1305ms |     293640 |    97.872% |   Q25111646 |    12:24:02 PM |     00:28:53
    300032 |                  5.782ms |                 166.833ms |     293640 |     97.87% |   Q25111646 |    12:24:02 PM |     00:28:54
    300043 |                  5.786ms |                 108.364ms |     293646 |    97.868% |   Q26250188 |    12:24:04 PM |     00:28:56
    300044 |                  5.801ms |                    4564ms |     293646 |    97.868% |   Q26250188 |    12:24:04 PM |     00:29:00
    300083 |                  5.804ms |                  25.667ms |     293681 |    97.867% |   Q27177409 |    12:24:09 PM |     00:29:01
    300084 |                  5.806ms |                     626ms |     293681 |    97.866% |   Q27177409 |    12:24:09 PM |     00:29:02
    300986 |                  5.792ms |                   1.109ms |     294583 |    97.873% |   Q27484965 |    12:24:11 PM |     00:29:03
    301252 |                   5.79ms |                   3.763ms |     294849 |    97.875% |   Q27549404 |    12:24:12 PM |     00:29:04
    301693 |                  5.785ms |                   2.268ms |     295290 |    97.878% |   Q27556653 |    12:24:13 PM |     00:29:05
    301694 |                   5.79ms |                    1540ms |     295291 |    97.878% |   Q27575272 |    12:24:14 PM |     00:29:06
    303416 |                   5.76ms |                   0.581ms |     297013 |     97.89% |   Q27751029 |    12:24:15 PM |     00:29:07
    304760 |                  5.738ms |                   0.745ms |     298357 |    97.899% |   Q27795794 |    12:24:16 PM |     00:29:08
    304880 |                  5.739ms |                   8.342ms |     298477 |      97.9% |   Q27948780 |    12:24:17 PM |     00:29:09
    305565 |                   5.73ms |                   1.709ms |     299162 |    97.905% |   Q28064305 |    12:24:19 PM |     00:29:10
    305592 |                  5.733ms |                   42.37ms |     299189 |    97.905% |   Q28151897 |    12:24:20 PM |     00:29:12
    305596 |                  5.736ms |                     250ms |     299192 |    97.904% |   Q28209372 |    12:24:21 PM |     00:29:13
    305610 |                   5.74ms |                  71.429ms |     299204 |    97.904% |   Q28343124 |    12:24:22 PM |     00:29:14
    305611 |                  5.743ms |                    1038ms |     299204 |    97.904% |   Q28343124 |    12:24:22 PM |     00:29:15
    305612 |                  5.744ms |                     372ms |     299204 |    97.903% |   Q28343124 |    12:24:22 PM |     00:29:15
    305939 |                  5.741ms |                   3.064ms |     299527 |    97.904% |   Q28558582 |    12:24:24 PM |     00:29:16
    306357 |                  5.737ms |                   2.395ms |     299945 |    97.907% |   Q28561909 |    12:24:25 PM |     00:29:17
    306523 |                  5.737ms |                    6.03ms |     300111 |    97.908% |   Q28563511 |    12:24:26 PM |     00:29:18
    306524 |                  5.742ms |                    1507ms |     300112 |    97.908% |   Q28563749 |    12:24:28 PM |     00:29:19
    306857 |                  5.739ms |                   3.006ms |     300444 |     97.91% |   Q28775626 |    12:24:29 PM |     00:29:20
    306962 |                  5.741ms |                  11.276ms |     300544 |    97.909% |   Q29005445 |    12:24:30 PM |     00:29:22
    306963 |                  5.744ms |                     986ms |     300544 |    97.909% |   Q29005445 |    12:24:30 PM |     00:29:23
    307662 |                  5.734ms |                   1.432ms |     301243 |    97.914% |   Q29523197 |    12:24:32 PM |     00:29:24
