    parsed | total average parse time | recent average parse time |       kept | % of total |   last kept | last kept time | elapsed time

    130017 |                  0.693ms |                   0.494ms |        179 |     0.138% |    Q1102066 |    10:30:18 PM |     00:01:30
    132212 |                  0.689ms |                   0.456ms |        181 |     0.137% |    Q1137072 |    10:30:20 PM |     00:01:31
    134070 |                  0.687ms |                   0.539ms |        182 |     0.136% |    Q1140236 |    10:30:21 PM |     00:01:32
    136116 |                  0.684ms |                   0.489ms |        183 |     0.134% |    Q1172095 |    10:30:22 PM |     00:01:33
    138342 |                   0.68ms |                   0.449ms |        184 |     0.133% |    Q1180012 |    10:30:23 PM |     00:01:34
    140858 |                  0.675ms |                   0.397ms |        185 |     0.131% |    Q1211892 |    10:30:24 PM |     00:01:35
    143316 |                   0.67ms |                   0.407ms |        188 |     0.131% |    Q1237109 |    10:30:25 PM |     00:01:36
    145871 |                  0.665ms |                   0.391ms |        191 |     0.131% |    Q1256980 |    10:30:26 PM |     00:01:37
    147597 |                  0.664ms |                    0.58ms |        192 |      0.13% |    Q1263629 |    10:30:27 PM |     00:01:38
    150134 |                   0.66ms |                   0.394ms |        193 |     0.129% |    Q1290783 |    10:30:28 PM |     00:01:39
    152566 |                  0.656ms |                   0.411ms |        193 |     0.127% |    Q1290783 |    10:30:28 PM |     00:01:40
    154823 |                  0.653ms |                   0.443ms |        193 |     0.125% |    Q1290783 |    10:30:28 PM |     00:01:41
    156860 |                  0.651ms |                   0.491ms |        195 |     0.124% |    Q1340833 |    10:30:31 PM |     00:01:42
    158734 |                  0.649ms |                   0.534ms |        196 |     0.123% |    Q1365325 |    10:30:32 PM |     00:01:43
    160742 |                  0.647ms |                   0.498ms |        196 |     0.122% |    Q1365325 |    10:30:32 PM |     00:01:44
    163110 |                  0.644ms |                   0.422ms |        199 |     0.122% |    Q1397367 |    10:30:34 PM |     00:01:45
    165682 |                   0.64ms |                   0.389ms |        204 |     0.123% |    Q1427600 |    10:30:35 PM |     00:01:46
    167961 |                  0.637ms |                   0.439ms |        206 |     0.123% |    Q1436590 |    10:30:36 PM |     00:01:47
    170485 |                  0.634ms |                   0.396ms |        207 |     0.121% |    Q1457751 |    10:30:37 PM |     00:01:48
    173255 |                  0.629ms |                   0.361ms |        207 |     0.119% |    Q1457751 |    10:30:37 PM |     00:01:49
    175887 |                  0.626ms |                    0.38ms |        209 |     0.119% |    Q1500758 |    10:30:39 PM |     00:01:50
